ID,ANO,MUNICIPIO,COD_CURSO,NOME_CURSO,CENTRO,CPC_ANTIGO,NC,NIDD,NM,ND,NR,NO,NF,NA,CPC2013
77,2013,SANTA MARIA,27,FONOAUDIOLOGIA,CCS,"1,59",1.34,0.00,4.50,3.60,5.00,0.00,0.50,1.72,"1,6"
78,2013,PALMEIRA DAS MISSOES,28,NUTRIÇÃO,CESNORS PM,"3,4",2.62,3.82,5.00,4.21,5.00,0.37,2.13,0.91,"3,45"
79,2013,SANTA MARIA,36,FISIOTERAPIA,CCS,"3,62",4.48,3.78,4.24,3.39,5.00,0.94,1.51,2.31,"3,66"
80,2013,PALMEIRA DAS MISSOES,51,ZOOTECNIA,CESNORS PM,"3,21",2.84,2.98,5.00,3.96,5.00,1.36,2.06,2.13,"3,26"
81,2013,SANTA MARIA,51,ZOOTECNIA,CCR,"2,86",2.53,2.08,4.47,3.82,5.00,1.61,2.91,3.04,"2,93"
82,2013,SILVEIRA MARTINS,92,TECNOLOGIA EM GESTÃO AMBIENTAL,UDSSM,"2,84",2.32,2.32,5.00,4.03,5.00,1.25,1.21,2.12,"2,87"
83,2013,SANTA MARIA,3501,EDUCAÇÃO FÍSICA (BACHARELADO),CEFD,"3,4",3.76,3.13,5.00,4.34,5.00,0.44,1.30,2.07,"3,43"
84,2014,SANTA MARIA,21,ARQUITETURA E URBANISMO,CT,"3,04",2.88,2.88,4.03,3.44,5.00,1.46,1.70,2.82,"3,09"
85,2014,SANTA MARIA,79,TECNOLOGIA EM REDES DE COMPUTADORES,CTISM,"2,87",3.05,2.88,3.66,1.91,5.00,1.38,2.98,2.79,"2,95"
86,2014,SANTA MARIA,702,MATEMÁTICA (LICENCIATURA),CCNE,"2,99",2.82,2.76,4.86,3.70,5.00,0.00,1.96,2.90,"3,04"
87,2014,SANTA MARIA,903,LETRAS-PORTUGUÊS (BACHARELADO),CAL,"2,75",2.03,2.45,4.35,4.57,5.00,0.00,1.37,1.33,"2,78"
88,2014,SANTA MARIA,904,LETRAS-PORTUGUÊS (LICENCIATURA),CAL,"3,32",3.66,3.12,4.57,4.05,5.00,0.24,1.97,2.16,"3,37"
89,2014,SANTA MARIA,905,LETRAS-PORTUGUÊS E INGLÊS (LICENCIATURA),CAL,"3,3",3.57,2.90,4.41,3.38,5.00,2.20,2.38,2.72,"3,35"
90,2014,SANTA MARIA,1401,FÍSICA (BACHARELADO),CCNE,"2,21",1.28,0.84,5.00,3.78,5.00,2.88,1.36,2.43,"2,25"
91,2014,SANTA MARIA,1402,FÍSICA (LICENCIATURA),CCNE,"3,09",2.61,2.57,4.52,4.03,5.00,2.17,2.18,3.00,"3,14"
