campus,area,codigo_curso,uf,municipio
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Santa Maria
CAMPUS DE PALMEIRA DAS MISSÕES,ENFERMAGEM,23,RS,São João do Polêsine
CAMPUS DE PALMEIRA DAS MISSÕES,ENFERMAGEM,23,RS,Coronel Bicaco
CAMPUS DE PALMEIRA DAS MISSÕES,ENFERMAGEM,23,RS,São Francisco de Assis
CAMPUS DE PALMEIRA DAS MISSÕES,ENFERMAGEM,23,RS,Pelotas
CAMPUS DE PALMEIRA DAS MISSÕES,ZOOTECNIA,51,RS,Augusto Pestana
CAMPUS DE PALMEIRA DAS MISSÕES,ZOOTECNIA,51,SP,Itapecerica da Serra
CAMPUS DE PALMEIRA DAS MISSÕES,ZOOTECNIA,51,PR,Rolândia
CAMPUS DE PALMEIRA DAS MISSÕES,ZOOTECNIA,51,SP,Caraguatatuba
CAMPUS DE PALMEIRA DAS MISSÕES,ZOOTECNIA,51,RS,Palmeira das Missões
CAMPUS DE PALMEIRA DAS MISSÕES,ZOOTECNIA,51,RS,Santa Maria
CAMPUS DE PALMEIRA DAS MISSÕES,ZOOTECNIA,51,RS,Tuparendi
CAMPUS  - SANTA MARIA - CAMOBI,ABI - ARTES CÊNICAS,0,RS,Santa Cruz do Sul
CAMPUS  - SANTA MARIA - CAMOBI,ABI - ARTES CÊNICAS,0,SP,São Paulo
CAMPUS  - SANTA MARIA - CAMOBI,ABI - ARTES CÊNICAS,0,AL,Maceió
CAMPUS  - SANTA MARIA - CAMOBI,ABI - CIÊNCIAS BIOLÓGICAS,1601,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ABI - CIÊNCIAS BIOLÓGICAS,1601,RS,Jóia
CAMPUS  - SANTA MARIA - CAMOBI,ABI - CIÊNCIAS BIOLÓGICAS,1601,RS,Ijuí
CAMPUS  - SANTA MARIA - CAMOBI,ABI - CIÊNCIAS BIOLÓGICAS,1601,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ABI - CIÊNCIAS BIOLÓGICAS,1601,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ABI - CIÊNCIAS BIOLÓGICAS,1601,RS,Viamão
CAMPUS  - SANTA MARIA - CAMOBI,ABI - CIÊNCIAS BIOLÓGICAS,1601,RS,Cruz Alta
CAMPUS  - SANTA MARIA - CAMOBI,ABI - CIÊNCIAS BIOLÓGICAS,1601,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ABI - CIÊNCIAS BIOLÓGICAS,1601,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ABI - CIÊNCIAS BIOLÓGICAS,1601,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ABI - CIÊNCIAS BIOLÓGICAS,1601,RJ,Rio de Janeiro
CAMPUS  - SANTA MARIA - CAMOBI,ABI - CIÊNCIAS BIOLÓGICAS,1601,RS,Venâncio Aires
CAMPUS  - SANTA MARIA - CAMOBI,ABI - CIÊNCIAS BIOLÓGICAS,1601,RS,Rosário do Sul
CAMPUS  - SANTA MARIA - CAMOBI,ABI - CIÊNCIAS BIOLÓGICAS,1601,RS,São Martinho
CAMPUS  - SANTA MARIA - CAMOBI,ABI - CIÊNCIAS BIOLÓGICAS,1601,RS,Bagé
CAMPUS  - SANTA MARIA - CAMOBI,ABI - CIÊNCIAS BIOLÓGICAS,1601,RS,Cachoeira do Sul
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,São Sepé
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Restinga Seca
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Santa Maria
CAMPUS DE PALMEIRA DAS MISSÕES,ADMINISTRAÇÃO,1,RS,Rosário do Sul
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Cruz Alta
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,SP,São Bernardo do Campo
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Santa Maria
CAMPUS DE PALMEIRA DAS MISSÕES,ADMINISTRAÇÃO,1,RS,São Sepé
CAMPUS DE PALMEIRA DAS MISSÕES,ADMINISTRAÇÃO,1,RS,Palmeira das Missões
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Santa Maria
CAMPUS DE PALMEIRA DAS MISSÕES,ADMINISTRAÇÃO,1,SP,São Paulo
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,ADMINISTRAÇÃO,1,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Cachoeira do Sul
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Vale do Sol
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Tuparendi
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Quaraí
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Boa Vista das Missões
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,SP,São Paulo
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Giruá
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Santa Rosa
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Tupanciretã
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Lajeado
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Dona Francisca
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Alecrim
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Boa Vista do Buricá
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Maquiné
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Júlio de Castilhos
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Júlio de Castilhos
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Santa Maria
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,São Gabriel
CAMPUS  - SANTA MARIA - CAMOBI,AGRONOMIA,17,RS,Restinga Seca
