AREA,UF,REGIAO,ANO,CPCCONTINUO,NOTACONCLUINTES,NOTAPADRONIZADAIDD,NOTAPADRONIZADAMESTRES,NOTAPADRONIZADADOUTORES,NOMEIES,SIGLAIES,PUB_PRIV,CATADMINISTRATIVA,ORGACADEMICA,MUNICIPIOCURSO,NOTAPADRONIZADADREGIME,NOTAPADRONIZADAPEDAG,CPC_FAIXA,NOTAPADRONIZADAINFRA,INGRESSANTESPARTICIPANTES,INGRESSANTESINSCRITOS,COD_AREA,COD_IES,AMPLIACAOFORMACAO_NA,CPC_FORMULA2013
ADMINISTRAÇÃO,RO,0,2012,3.11,2.96,4.01,3.00,0.00,CENTRO UNIVERSITÁRIO LUTERANO DE JI-PARANÁ,CEULJI/ULBRA,Privada,Centro Universitário,JI-PARANA,4.67,3.75,4.00,3.48,15,43,1,1100122,450,3.64,3.12
ADMINISTRAÇÃO,AM,0,2012,2.60,2.01,2.01,3.85,1.62,CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS,CEULM/ULBRA,Privada,Centro Universitário,MANAUS,5.00,3.61,3.00,4.25,0,7,1,1302603,452,3.87,2.59
ADMINISTRAÇÃO,TO,0,2012,3.01,2.19,2.36,3.46,3.23,CENTRO UNIVERSITÁRIO LUTERANO DE PALMAS,CEULP,Privada,Centro Universitário,PALMAS,5.00,3.53,4.00,4.83,28,62,1,1721000,453,4.05,2.99
ADMINISTRAÇÃO,SP,0,2012,2.63,3.34,2.40,3.44,0.44,CENTRO UNIVERSITÁRIO DO INSTITUTO MAUÁ DE TECNOLOGIA,CEUN-IMT,Privada,Centro Universitário,SAO PAULO,0.63,5.00,3.00,5.00,3,7,1,3550308,1445,5.00,2.63
ADMINISTRAÇÃO,MG,0,2012,2.71,2.91,3.05,4.51,0.43,CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX,CEUNIH,Privada,Centro Universitário,BELO HORIZONTE,2.41,2.87,3.00,3.55,35,67,1,3106200,216,3.14,2.70
ADMINISTRAÇÃO,SP,0,2012,2.55,2.47,2.52,2.08,1.17,CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO,CEUNSP,Privada,Centro Universitário,SALTO,2.08,4.39,3.00,4.75,94,204,1,3545209,1149,4.53,2.54
ADMINISTRAÇÃO,SP,0,2012,2.52,2.33,2.14,3.18,1.59,CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO,CEUNSP,Privada,Centro Universitário,ITU,2.73,3.78,3.00,4.54,116,250,1,3523909,1149,4.08,2.51
ADMINISTRAÇÃO,PI,0,2012,1.96,1.63,1.76,0.94,0.00,CHRISTUS FACULDADE DO PIAUÍ,CHRISFAPI,Privada,Faculdade,PIRIPIRI,3.13,4.62,3.00,4.86,40,63,1,2208403,3042,4.71,1.95
ADMINISTRAÇÃO,AM,0,2012,2.87,1.99,2.85,4.33,1.56,CENTRO UNIVERSITÁRIO DE ENSINO SUPERIOR DO AMAZONAS,CIESA,Privada,Centro Universitário,MANAUS,4.78,3.67,3.00,3.70,205,489,1,1302603,668,3.68,2.87
ADMINISTRAÇÃO,RS,1,2012,2.84,2.84,2.90,4.07,0.78,INSTITUTO CENECISTA DE ENSINO SUPERIOR DE SANTO ÂNGELO,CNEC/IESA,Privada,Faculdade,SANTO ANGELO,2.41,3.91,3.00,4.86,78,124,1,4317509,1231,4.29,2.83
