_id,Ano,Municipio,codigo_curso,nome_curso,centro,CPC_Continuo,nc,nidd,nm,nd,nr,no,nf,na,cpc_f2013,t_ies_br,t_ies_sul,t_ies_rs,t_ifes_br,t_ifes_sul,t_ifes_rs,posicaobrasilcpc,posicaorscpc,posicaopublicabrasilcpc,posicaopublicarscpc,posicaosulcpc,posicaoifescpc,posicaobrasilinfra,posicaorsinfra,posicaopublicabrasilinfra,posicaopublicarsinfra,posicaosulinfra,posicaoifesinfra,posicaobrasilpedag,posicaorspedag,posicaopublicabrasilpedag,posicaopublicarspedag,posicaosulpedag,posicaoifespedag,posicaobrasilregime,posicaorsregime,posicaopublicabrasilregime,posicaopublicarsregime,posicaosulregime,posicaoifesregime,posicaobrasildoutor,posicaorsdoutor,posicaopublicabrasildoutor,posicaopublicarsdoutor,posicaosuldoutor,posicaoifesdoutor,posicaobrasilidd,posicaorsidd,posicaopublicabrasilidd,posicaopublicarsidd,posicaosulidd,posicaoifesidd,posicaobrasilenade,posicaorsenade,posicaopublicabrasilenade,posicaopublicarsenade,posicaosulenade,posicaoifesenade,posicaobrasilmestre,posicaorsmestre,posicaopublicabrasilmestre,posicaopublicarsmestre,posicaosulmestre,posicaoifesmestre,posicaobrasilampliacao,posicaorsampliacao,posicaopublicabrasilampliacao,posicaopublicarsampliacao,posicaosulampliacao,posicaoifesampliacao,distanciabrasilcpc,distanciarscpc,distanciapublicacpc,distanciapublicarscpc,distanciasulcpc,distanciaifescpc,distanciabrasilenade,distanciarsenade,distanciapublicaenade,distanciapublicarsenade,distanciasulenade,distanciaifesenade,media_ies_br,media_ies_sul,media_ies_rs,media_ifes_br,media_ifes_sul,media_ifes_rs,max_ies_br,max_ies_sul,max_ies_rs,max_ifes_br,max_ifes_sul,max_ifes_rs,CPC_Faixa,Concluintes_Inscritos,Concluintes_Participantes,Concluintes_Participantes_nota_Enem,Num_Docentes,Num_Matrículas,id_centro,Enade_Faixa,Obs
,2008,SANTA MARIA,2402,HISTÓRIA (LICENCIATURA),CCSH,1.96,2.65,0.21,3.61,2.78,5,1.63,2.41,1.942,1.95755,255,50,25,117,19,4,193,24,79,3,43,15,167,23,41,2,43,12,226,24,96,3,47,17,1,1,1,1,1,1,52,9,36,3,15,9,234,23,100,2,44,13,150,20,58,2,35,10,150,23,64,3,43,15,212,24,80,3,48,17,,,,,,,,,,,,,2.49,2.76,2.96,2.38,2.54,2.37,4.49,3.93,3.93,4.49,3.68,3.49,3,,16,,18,,5,3,
,2008,SANTA MARIA,3002,GEOGRAFIA (LICENCIATURA),CCNE,3.63,3.8,3.82,4.49,3.62,5,2.56,1.67,2.204,3.68235,188,38,13,104,18,4,7,1,4,1,3,2,139,11,60,3,35,16,98,10,38,2,27,10,1,1,1,1,1,1,21,2,18,2,6,5,25,4,17,3,8,7,14,3,8,2,4,3,38,7,20,2,14,7,127,11,51,3,35,16,,,,,,,,,,,,,2.45,2.78,3.02,2.48,2.96,3.4,4.11,4.11,3.63,4.11,4.11,3.63,4,,23,,39,,2,4,
,2008,SANTA MARIA,3202,FILOSOFIA (LICENCIATURA),CCSH,3.65,4,3.4,4.21,3.89,5,3.38,3.46,3.412,3.77605,106,26,16,39,9,3,5,2,1,1,2,1,54,12,1,1,16,1,47,14,4,2,18,3,1,1,1,1,1,1,14,2,9,1,5,4,17,3,3,1,6,2,4,1,1,1,1,1,51,15,17,3,20,7,47,12,3,1,16,2,,,,,,,,,,,,,2.51,2.92,2.94,2.42,2.96,3.05,3.94,3.75,3.75,3.65,3.65,3.65,4,,23,,18,,5,5,
,2008,SANTA MARIA,4004,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),CT,3.73,4.1,3.64,4.48,3.24,5,1.25,3.19,2.026,3.5949,580,120,46,111,26,4,21,4,19,3,5,4,396,39,48,4,103,20,518,43,89,4,114,26,1,1,1,1,1,1,51,10,31,3,16,5,55,8,34,3,15,9,29,5,21,3,7,5,89,19,35,2,28,9,487,43,69,4,112,24,,,,,,,,,,,,,2.36,2.54,2.78,2.84,2.92,3.92,4.71,4.71,4.71,4.71,4.71,4.71,4,,13,,29,,10,5,
,2008,SANTA MARIA,5401,CIÊNCIAS SOCIAIS (BACHARELADO),CCSH,1.76,1.8,0.51,3.33,2.75,5,2.13,2.32,2.206,1.90665,58,13,7,43,8,3,51,6,37,2,11,6,28,5,14,1,9,4,32,6,19,2,11,6,1,1,1,1,1,1,35,4,28,2,9,7,43,6,29,2,10,5,45,6,31,2,10,5,43,5,30,2,11,7,32,5,17,1,10,5,,,,,,,,,,,,,2.75,2.93,2.87,2.63,2.55,2,4.26,3.96,3.87,4.26,3.96,2.78,2,,40,,20,,5,2,
,2008,SANTA MARIA,5710,ENGENHARIA CIVIL,CT,3.18,3.18,3.43,3.76,2.59,5,3.13,2.49,2.874,3.3131,159,32,11,68,17,4,30,4,27,2,9,7,123,10,41,3,27,13,76,6,23,1,18,7,1,1,1,1,1,1,34,3,31,2,9,8,29,6,21,3,11,8,34,3,29,2,10,9,64,6,37,2,17,9,98,9,27,2,23,9,,,,,,,,,,,,,2.46,2.85,3.03,2.88,2.97,3.15,4.58,4.07,3.89,4.56,4.07,3.89,4,,59,,75,,10,4,
,2008,SANTA MARIA,5806,ENGENHARIA ELÉTRICA,CT,2.49,2.25,1.87,3.76,2.47,5,1.64,1.62,1.632,2.3768,268,44,17,80,15,4,96,12,56,3,26,11,230,15,55,2,41,12,208,16,49,3,40,11,1,1,1,1,1,1,72,5,54,3,10,8,177,17,63,4,37,12,96,13,59,4,26,12,110,13,53,3,27,11,224,17,52,4,41,12,,,,,,,,,,,,,2.33,2.69,2.79,3.06,2.96,2.92,4.65,4.25,4.14,4.65,4.25,4.14,3,,31,,75,,10,3,
,2008,SANTA MARIA,5902,ENGENHARIA MECÂNICA,CT,2.01,2.31,1.36,3.47,2.33,5,0.38,0.46,0.412,1.98455,88,23,12,41,9,3,64,12,33,3,22,9,86,12,39,3,23,9,86,11,39,2,22,8,1,1,1,1,1,1,33,5,25,2,10,5,73,12,34,3,23,9,49,9,31,3,18,9,47,10,26,2,18,7,87,12,40,3,23,9,,,,,,,,,,,,,2.49,2.78,2.68,2.78,3.07,2.69,4.52,4.38,3.14,4.52,4.38,3.11,3,,33,,75,,10,3,
,2008,SANTA MARIA,6008,ENGENHARIA QUÍMICA,CT,2.58,3.62,2.45,3.29,2.33,5,1.17,1.45,1.282,2.74505,92,30,13,50,17,5,46,10,30,3,22,13,82,13,40,5,29,16,82,13,40,5,28,15,1,1,1,1,1,1,52,7,40,3,17,12,36,10,19,3,20,11,17,3,14,3,6,6,63,10,36,3,25,13,82,13,40,5,28,15,,,,,,,,,,,,,2.57,2.84,2.77,2.79,2.96,2.76,4.32,3.91,3.91,4.32,3.91,3.91,3,,22,,75,,10,4,
,2008,FREDERICO WESTPHALEN,6405,ENGENHARIA FLORESTAL,FW Campus,,,,4.62,4.03,5,2.54,3.33,2.856,,50,16,6,37,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,2.79,2.72,3.06,3.42,3.14,4.61,3.97,3.32,4.61,3.97,3.32,SC,,0,,24,,8,,Curso Sem Conceito
