Centro,Ano,Cód. Curso,Nome do Curso,Ingressantes 'x' anos atrás,Formados,Matriculados,TSG - Taxa de Titulação,TSG Média Cursos do Centro,TSG Média Cursos da UFSM,Ano de Ingresso
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2015,109,Química - Licenciatura Plena,46,2,149,4.34,8.90,23.12,2012
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2008,110,Química Industrial,34,24,152,70.58,39.48,43.15,2005
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2009,110,Química Industrial,20,15,134,75.00,34.40,51.69,2006
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2010,110,Química Industrial,18,12,117,66.66,51.28,56.18,2007
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2011,110,Química Industrial,15,15,96,100.00,39.96,49.65,2008
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2012,110,Química Industrial,16,10,81,62.50,31.87,46.73,2009
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2013,110,Química Industrial,22,9,80,40.90,108.33,62.08,2010
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2014,110,Química Industrial,16,16,71,100.00,28.98,42.85,2011
CENTRO DE CIÊNCIAS NATURAIS E EXATAS - CCNE,2015,110,Química Industrial,26,2,76,7.69,8.90,23.12,2012
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2012,525,Relações Internacionais,53,0,50,0.00,51.44,46.73,2009
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2013,525,Relações Internacionais,60,40,101,66.66,48.39,62.08,2010
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2014,525,Relações Internacionais,51,32,137,62.74,54.43,42.85,2011
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2015,525,Relações Internacionais,80,6,187,7.50,12.51,23.12,2012
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2013,528,Serviço Social - Bacharelado (Noturno),50,0,50,0.00,48.39,62.08,2010
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2014,528,Serviço Social - Bacharelado (Noturno),51,21,99,41.17,54.43,42.85,2011
CENTRO DE CIÊNCIAS SOCIAIS E HUMANAS - CCSH,2015,528,Serviço Social - Bacharelado (Noturno),56,2,150,3.57,12.51,23.12,2012
CENTRO DE EDUCAÇÃO SUPERIOR NORTE-RS/UFSM -CESNORS,2013,2012,Sistemas de Informação/CESNORS/FW,37,0,33,0.00,37.34,62.08,2010
CENTRO DE EDUCAÇÃO SUPERIOR NORTE-RS/UFSM -CESNORS,2014,2012,Sistemas de Informação/CESNORS/FW,43,7,69,16.27,35.89,42.85,2011
CENTRO DE EDUCAÇÃO SUPERIOR NORTE-RS/UFSM -CESNORS,2015,2012,Sistemas de Informação/CESNORS/FW,51,2,102,3.92,21.15,23.12,2012
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2013,212,Terapia Ocupacional,35,36,35,102.85,78.59,62.08,2009
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2014,212,Terapia Ocupacional,77,36,105,46.75,68.70,42.85,2010
CENTRO DE CIÊNCIAS DA SAÚDE - CCS,2015,212,Terapia Ocupacional,71,13,169,18.30,30.10,23.12,2011
CENTRO DE CIÊNCIAS RURAIS - CCR,2009,404,Zootecnia,81,50,282,61.72,77.36,51.69,2005
CENTRO DE CIÊNCIAS RURAIS - CCR,2010,404,Zootecnia,72,46,292,63.88,79.64,56.18,2006
CENTRO DE CIÊNCIAS RURAIS - CCR,2011,404,Zootecnia,78,46,302,58.97,65.17,49.65,2007
CENTRO DE CIÊNCIAS RURAIS - CCR,2012,404,Zootecnia,77,49,325,63.63,61.57,46.73,2008
CENTRO DE CIÊNCIAS RURAIS - CCR,2013,404,Zootecnia,77,57,343,74.02,78.55,62.08,2009
CENTRO DE CIÊNCIAS RURAIS - CCR,2014,404,Zootecnia,80,40,342,50.00,61.34,42.85,2010
CENTRO DE CIÊNCIAS RURAIS - CCR,2015,404,Zootecnia,79,5,339,6.32,21.23,23.12,2011
